LECROYWS4024HD,18501,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,17-Oct-2025 21:19:14,0                 
Time,Ampl
-1.0000254e-005,9.16508
-9.999854e-006,9.15331
-9.999454e-006,9.14155
-9.999054e-006,9.12978
-9.998654e-006,9.11802
-9.998254e-006,9.11802
-9.997854e-006,9.11802
-9.997454e-006,9.10625
-9.997054e-006,9.08272
-9.996654e-006,9.08272
-9.996254e-006,9.08272
-9.995854e-006,9.08272
-9.995454e-006,9.09449
-9.995054e-006,9.10625
-9.994654e-006,9.11802
-9.994254e-006,9.14155
-9.993854e-006,9.14155
-9.993454e-006,9.14155
-9.993054e-006,9.15331
-9.992654e-006,9.15331
-9.992254e-006,9.16508
-9.991854e-006,9.16508
-9.991454e-006,9.15331
-9.991054e-006,9.14155
-9.990654e-006,9.14155
-9.990254e-006,9.15331
-9.989854e-006,9.16508
-9.989454e-006,9.14155
-9.989054e-006,9.12978
-9.988654e-006,9.11802
-9.988254e-006,9.11802
-9.987854e-006,9.10625
-9.987454e-006,9.11802
-9.987054e-006,9.11802
-9.986654e-006,9.11802
-9.986254e-006,9.10625
-9.985854e-006,9.09449
-9.985454e-006,9.07096
-9.985054e-006,9.05919
-9.984654e-006,9.05919
-9.984254e-006,9.04742
-9.983854e-006,9.05919
-9.983454e-006,9.05919
-9.983054e-006,9.08272
-9.982654e-006,9.11802
-9.982254e-006,9.14155
-9.981854e-006,9.14155
-9.981454e-006,9.14155
-9.981054e-006,9.16508
-9.980654e-006,9.18861
-9.980254e-006,9.21214
-9.979854e-006,9.21214
-9.979454e-006,9.20037
-9.979054e-006,9.20037
-9.978654e-006,9.20037
-9.978254e-006,9.20037
-9.977854e-006,9.18861
-9.977454e-006,9.18861
-9.977054e-006,9.17684
-9.976654e-006,9.18861
-9.976254e-006,9.17684
-9.975854e-006,9.15331
-9.975454e-006,9.11802
-9.975054e-006,9.11802
-9.974654e-006,9.11802
-9.974254e-006,9.10625
-9.973854e-006,9.11802
-9.973454e-006,9.14155
-9.973054e-006,9.14155
-9.972654e-006,9.12978
-9.972254e-006,9.11802
-9.971854e-006,9.11802
-9.971454e-006,9.12978
-9.971054e-006,9.12978
-9.970654e-006,9.15331
-9.970254e-006,9.15331
-9.969854e-006,9.16508
-9.969454e-006,9.16508
-9.969054e-006,9.14155
-9.968654e-006,9.11802
-9.968254e-006,9.11802
-9.967854e-006,9.14155
-9.967454e-006,9.14155
-9.967054e-006,9.14155
-9.966654e-006,9.14155
-9.966254e-006,9.14155
-9.965854e-006,9.12978
-9.965454e-006,9.11802
-9.965054e-006,9.10625
-9.964654e-006,9.11802
-9.964254e-006,9.11802
-9.963854e-006,9.12978
-9.963454e-006,9.14155
-9.963054e-006,9.14155
-9.962654e-006,9.15331
-9.962254e-006,9.15331
-9.961854e-006,9.15331
-9.961454e-006,9.15331
-9.961054e-006,9.15331
-9.960654e-006,9.16508
-9.960254e-006,9.15331
-9.959854e-006,9.14155
-9.959454e-006,9.15331
-9.959054e-006,9.16508
-9.958654e-006,9.15331
-9.958254e-006,9.14155
-9.957854e-006,9.15331
-9.957454e-006,9.15331
-9.957054e-006,9.15331
-9.956654e-006,9.12978
-9.956254e-006,9.11802
-9.955854e-006,9.11802
-9.955454e-006,9.12978
-9.955054e-006,9.14155
-9.954654e-006,9.15331
-9.954254e-006,9.17684
