LECROYWS4024HD,18501,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,17-Oct-2025 21:19:14,0                 
Time,Ampl
-1.0000205e-005,-0.015411359
-9.999805e-006,-0.015599589
-9.999405e-006,-0.015670175
-9.999005e-006,-0.015717233
-9.998605e-006,-0.015740762
-9.998205e-006,-0.015740762
-9.997805e-006,-0.01576429
-9.997405e-006,-0.015670175
-9.997005e-006,-0.015529003
-9.996605e-006,-0.015411359
-9.996205e-006,-0.015246657
-9.995805e-006,-0.015058427
-9.995405e-006,-0.01479961
-9.995005e-006,-0.014493736
-9.994605e-006,-0.014258448
-9.994205e-006,-0.014046689
-9.993805e-006,-0.013952573
-9.993405e-006,-0.013881987
-9.993005e-006,-0.013858458
-9.992605e-006,-0.01383493
-9.992205e-006,-0.013764343
-9.991805e-006,-0.013529055
-9.991405e-006,-0.013152595
-9.991005e-006,-0.012752605
-9.990605e-006,-0.012493788
-9.990205e-006,-0.012234972
-9.989805e-006,-0.012023213
-9.989405e-006,-0.011858511
-9.989005e-006,-0.011764396
-9.988605e-006,-0.011740867
-9.988205e-006,-0.011740867
-9.987805e-006,-0.011693809
-9.987405e-006,-0.011623223
-9.987005e-006,-0.011505579
-9.986605e-006,-0.011340878
-9.986205e-006,-0.011317349
-9.985805e-006,-0.011317349
-9.985405e-006,-0.011387935
-9.985005e-006,-0.011529108
-9.984605e-006,-0.011717338
-9.984205e-006,-0.012023213
-9.983805e-006,-0.012282029
-9.983405e-006,-0.012423202
-9.983005e-006,-0.012540846
-9.982605e-006,-0.012634961
-9.982205e-006,-0.012611432
-9.981805e-006,-0.012399673
-9.981405e-006,-0.012093799
-9.981005e-006,-0.011858511
-9.980605e-006,-0.011717338
-9.980205e-006,-0.011670281
-9.979805e-006,-0.011670281
-9.979405e-006,-0.011693809
-9.979005e-006,-0.011670281
-9.978605e-006,-0.011599694
-9.978205e-006,-0.011576166
-9.977805e-006,-0.011623223
-9.977405e-006,-0.011670281
-9.977005e-006,-0.011670281
-9.976605e-006,-0.011576166
-9.976205e-006,-0.011387935
-9.975805e-006,-0.011129118
-9.975405e-006,-0.010917359
-9.975005e-006,-0.010752658
-9.974605e-006,-0.010658543
-9.974205e-006,-0.010658543
-9.973805e-006,-0.010776187
-9.973405e-006,-0.010893831
-9.973005e-006,-0.011011475
-9.972605e-006,-0.011152647
-9.972205e-006,-0.011199705
-9.971805e-006,-0.011152647
-9.971405e-006,-0.011082061
-9.971005e-006,-0.011058532
-9.970605e-006,-0.011058532
-9.970205e-006,-0.010987946
-9.969805e-006,-0.010893831
-9.969405e-006,-0.010799715
-9.969005e-006,-0.010752658
-9.968605e-006,-0.010776187
-9.968205e-006,-0.010846773
-9.967805e-006,-0.010940888
-9.967405e-006,-0.010987946
-9.967005e-006,-0.011035003
-9.966605e-006,-0.011058532
-9.966205e-006,-0.011035003
-9.965805e-006,-0.010870302
-9.965405e-006,-0.010635014
-9.965005e-006,-0.010446784
-9.964605e-006,-0.010376197
-9.964205e-006,-0.010446784
-9.963805e-006,-0.010587956
-9.963405e-006,-0.0107056
-9.963005e-006,-0.010823244
-9.962605e-006,-0.010917359
-9.962205e-006,-0.010893831
-9.961805e-006,-0.010823244
-9.961405e-006,-0.010729129
-9.961005e-006,-0.010564427
-9.960605e-006,-0.01032914
-9.960205e-006,-0.010211496
-9.959805e-006,-0.010235024
-9.959405e-006,-0.010211496
-9.959005e-006,-0.010187967
-9.958605e-006,-0.010352668
-9.958205e-006,-0.010682071
-9.957805e-006,-0.01110559
-9.957405e-006,-0.011529108
-9.957005e-006,-0.011999684
-9.956605e-006,-0.012493788
-9.956205e-006,-0.012729076
-9.955805e-006,-0.01284672
-9.955405e-006,-0.013034951
-9.955005e-006,-0.013199652
-9.954605e-006,-0.013223181
-9.954205e-006,-0.013199652
-9.953805e-006,-0.01324671
-9.953405e-006,-0.013387882
-9.953005e-006,-0.01362317
-9.952605e-006,-0.013952573
-9.952205e-006,-0.014305505
-9.951805e-006,-0.014634908
-9.951405e-006,-0.014917254
-9.951005e-006,-0.015081955
-9.950605e-006,-0.015129013
-9.950205e-006,-0.015081955
-9.949805e-006,-0.014917254
-9.949405e-006,-0.014823139
-9.949005e-006,-0.014870196
-9.948605e-006,-0.014917254
-9.948205e-006,-0.014846668
-9.947805e-006,-0.01479961
-9.947405e-006,-0.014917254
-9.947005e-006,-0.015152542
-9.946605e-006,-0.015434887
-9.946205e-006,-0.015717233
-9.945805e-006,-0.015881934
-9.945405e-006,-0.015905463
-9.945005e-006,-0.015834877
-9.944605e-006,-0.015646646
-9.944205e-006,-0.015411359
-9.943805e-006,-0.015176071
-9.943405e-006,-0.014846668
-9.943005e-006,-0.014517264
-9.942605e-006,-0.014258448
-9.942205e-006,-0.01421139
-9.941805e-006,-0.014352563
