LECROYWS4024HD,18500,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,31-Oct-2025 16:51:16,0                 
Time,Ampl
-2.5500206e-005,-1.53878
-2.5499806e-005,-1.53878
-2.5499406e-005,-1.53643
-2.5499006e-005,-1.53408
-2.5498606e-005,-1.53408
-2.5498206e-005,-1.53408
-2.5497806e-005,-1.53408
-2.5497406e-005,-1.53408
-2.5497006e-005,-1.53408
-2.5496606e-005,-1.53408
-2.5496206e-005,-1.53408
-2.5495806e-005,-1.53643
-2.5495406e-005,-1.53643
-2.5495006e-005,-1.53878
-2.5494606e-005,-1.53878
-2.5494206e-005,-1.53878
-2.5493806e-005,-1.53878
-2.5493406e-005,-1.54114
-2.5493006e-005,-1.54114
-2.5492606e-005,-1.54114
-2.5492206e-005,-1.54349
-2.5491806e-005,-1.54584
-2.5491406e-005,-1.54584
-2.5491006e-005,-1.54584
-2.5490606e-005,-1.54584
-2.5490206e-005,-1.54584
-2.5489806e-005,-1.54349
-2.5489406e-005,-1.54349
-2.5489006e-005,-1.54584
-2.5488606e-005,-1.54819
-2.5488206e-005,-1.54819
-2.5487806e-005,-1.55055
-2.5487406e-005,-1.54819
-2.5487006e-005,-1.54819
-2.5486606e-005,-1.54584
-2.5486206e-005,-1.54819
-2.5485806e-005,-1.54819
-2.5485406e-005,-1.54819
-2.5485006e-005,-1.54584
-2.5484606e-005,-1.54114
-2.5484206e-005,-1.54114
-2.5483806e-005,-1.54349
-2.5483406e-005,-1.54349
-2.5483006e-005,-1.54114
-2.5482606e-005,-1.54114
-2.5482206e-005,-1.54349
-2.5481806e-005,-1.54114
-2.5481406e-005,-1.53878
-2.5481006e-005,-1.53878
-2.5480606e-005,-1.53878
-2.5480206e-005,-1.53878
-2.5479806e-005,-1.53643
-2.5479406e-005,-1.53643
-2.5479006e-005,-1.53878
-2.5478606e-005,-1.53878
-2.5478206e-005,-1.53878
-2.5477806e-005,-1.53643
-2.5477406e-005,-1.53643
-2.5477006e-005,-1.53878
-2.5476606e-005,-1.53643
-2.5476206e-005,-1.53878
-2.5475806e-005,-1.54114
-2.5475406e-005,-1.54349
-2.5475006e-005,-1.54349
-2.5474606e-005,-1.54349
-2.5474206e-005,-1.54349
-2.5473806e-005,-1.54349
-2.5473406e-005,-1.54819
-2.5473006e-005,-1.55055
-2.5472606e-005,-1.54819
-2.5472206e-005,-1.54584
-2.5471806e-005,-1.54349
-2.5471406e-005,-1.54114
-2.5471006e-005,-1.54349
-2.5470606e-005,-1.54349
-2.5470206e-005,-1.54114
-2.5469806e-005,-1.54114
-2.5469406e-005,-1.54349
-2.5469006e-005,-1.54584
-2.5468606e-005,-1.54114
-2.5468206e-005,-1.53878
-2.5467806e-005,-1.54114
-2.5467406e-005,-1.54349
-2.5467006e-005,-1.54584
-2.5466606e-005,-1.54584
-2.5466206e-005,-1.54349
-2.5465806e-005,-1.54349
-2.5465406e-005,-1.54349
-2.5465006e-005,-1.54584
-2.5464606e-005,-1.54819
-2.5464206e-005,-1.55055
-2.5463806e-005,-1.55055
-2.5463406e-005,-1.54819
-2.5463006e-005,-1.55055
-2.5462606e-005,-1.55055
-2.5462206e-005,-1.5529
-2.5461806e-005,-1.5529
-2.5461406e-005,-1.5529
-2.5461006e-005,-1.55055
-2.5460606e-005,-1.54819
-2.5460206e-005,-1.54819
-2.5459806e-005,-1.55055
-2.5459406e-005,-1.55055
-2.5459006e-005,-1.54584
-2.5458606e-005,-1.54584
-2.5458206e-005,-1.54819
-2.5457806e-005,-1.54584
-2.5457406e-005,-1.54819
-2.5457006e-005,-1.55055
-2.5456606e-005,-1.55055
-2.5456206e-005,-1.54819
-2.5455806e-005,-1.54584
-2.5455406e-005,-1.54819
-2.5455006e-005,-1.54819
-2.5454606e-005,-1.54584
-2.5454206e-005,-1.54349
-2.5453806e-005,-1.54349
-2.5453406e-005,-1.54114
-2.5453006e-005,-1.54114
-2.5452606e-005,-1.54349
-2.5452206e-005,-1.54819
-2.5451806e-005,-1.54584
-2.5451406e-005,-1.54349
-2.5451006e-005,-1.54349
-2.5450606e-005,-1.54584
-2.5450206e-005,-1.54819
-2.5449806e-005,-1.54584
-2.5449406e-005,-1.54819
-2.5449006e-005,-1.54819
-2.5448606e-005,-1.54819
-2.5448206e-005,-1.54819
-2.5447806e-005,-1.54819
-2.5447406e-005,-1.54819
-2.5447006e-005,-1.54819
-2.5446606e-005,-1.54819
-2.5446206e-005,-1.55055
-2.5445806e-005,-1.5529
-2.5445406e-005,-1.5529
-2.5445006e-005,-1.55525
-2.5444606e-005,-1.55055
-2.5444206e-005,-1.55055
-2.5443806e-005,-1.5529
-2.5443406e-005,-1.55525
-2.5443006e-005,-1.5529
-2.5442606e-005,-1.55055
-2.5442206e-005,-1.55055
-2.5441806e-005,-1.55055
-2.5441406e-005,-1.55055
-2.5441006e-005,-1.55055
-2.5440606e-005,-1.55055
-2.5440206e-005,-1.54819
-2.5439806e-005,-1.54584
-2.5439406e-005,-1.54584
-2.5439006e-005,-1.54819
-2.5438606e-005,-1.55055
-2.5438206e-005,-1.54819
-2.5437806e-005,-1.54584
-2.5437406e-005,-1.54584
-2.5437006e-005,-1.54584
-2.5436606e-005,-1.54584
-2.5436206e-005,-1.54819
-2.5435806e-005,-1.54584
-2.5435406e-005,-1.54584
-2.5435006e-005,-1.54584
-2.5434606e-005,-1.55055
-2.5434206e-005,-1.55055
-2.5433806e-005,-1.54819
-2.5433406e-005,-1.54349
-2.5433006e-005,-1.54349
-2.5432606e-005,-1.54584
-2.5432206e-005,-1.54584
-2.5431806e-005,-1.54349
-2.5431406e-005,-1.54349
-2.5431006e-005,-1.54584
-2.5430606e-005,-1.54819
-2.5430206e-005,-1.55055
-2.5429806e-005,-1.5529
-2.5429406e-005,-1.5529
-2.5429006e-005,-1.5529
-2.5428606e-005,-1.5529
-2.5428206e-005,-1.5529
-2.5427806e-005,-1.5529
-2.5427406e-005,-1.5529
-2.5427006e-005,-1.55525
-2.5426606e-005,-1.55525
-2.5426206e-005,-1.55525
-2.5425806e-005,-1.55525
-2.5425406e-005,-1.55055
-2.5425006e-005,-1.54819
-2.5424606e-005,-1.55055
-2.5424206e-005,-1.55525
-2.5423806e-005,-1.55761
-2.5423406e-005,-1.5529
-2.5423006e-005,-1.55055
-2.5422606e-005,-1.5529
-2.5422206e-005,-1.5529
-2.5421806e-005,-1.5529
-2.5421406e-005,-1.5529
